Run No.,shop_order,Feature,Actual,Tol-,Tol+,Deviation,Tendency,Run Date,Run Time
1004,EGR1524590_14,REAR,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:33:25
1004,EGR1524590_14,BASE,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:33:25
1004,EGR1524590_14,MID,0.0055,0.0015,0.0015,0.001,0.667,6/11/2024,16:33:25
1004,EGR1524590_14,TIP,0.0059,0.0015,0.0015,0.0014,0.933,6/11/2024,16:33:25
1005,EGR1524590_15,REAR,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:34:18
1005,EGR1524590_15,BASE,0.0054,0.0015,0.0015,0.0009,0.6,6/11/2024,16:34:18
1005,EGR1524590_15,MID,0.0056,0.0015,0.0015,0.0011,0.733,6/11/2024,16:34:18
1005,EGR1524590_15,TIP,0.0064,0.0015,0.0015,0.0019,1.267,6/11/2024,16:34:18
1006,EGR1524590_16,REAR,0.0056,0.0015,0.0015,0.0011,0.733,6/11/2024,16:44:24
1006,EGR1524590_16,BASE,0.0057,0.0015,0.0015,0.0012,0.8,6/11/2024,16:44:24
1006,EGR1524590_16,MID,0.006,0.0015,0.0015,0.0015,1,6/11/2024,16:44:24
1006,EGR1524590_16,TIP,0.0066,0.0015,0.0015,0.0021,1.4,6/11/2024,16:44:24
1007,EGR1524590_17,REAR,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:45:15
1007,EGR1524590_17,BASE,0.0047,0.0015,0.0015,0.0002,0.133,6/11/2024,16:45:15
1007,EGR1524590_17,MID,0.0045,0.0015,0.0015,0,0,6/11/2024,16:45:15
1007,EGR1524590_17,TIP,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,16:45:15
1008,EGR1524590_18,REAR,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:46:06
1008,EGR1524590_18,BASE,0.0048,0.0015,0.0015,0.0003,0.2,6/11/2024,16:46:06
1008,EGR1524590_18,MID,0.0041,0.0015,0.0015,-0.0004,-0.267,6/11/2024,16:46:06
1008,EGR1524590_18,TIP,0.0042,0.0015,0.0015,-0.0003,-0.2,6/11/2024,16:46:06
1009,EGR1524590_19,REAR,0.0051,0.0015,0.0015,0.0006,0.4,6/11/2024,16:48:36
1009,EGR1524590_19,BASE,0.005,0.0015,0.0015,0.0005,0.333,6/11/2024,16:48:36
1009,EGR1524590_19,MID,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,16:48:36
1009,EGR1524590_19,TIP,0.0044,0.0015,0.0015,-0.0001,-0.067,6/11/2024,16:48:36
1010,EGR1524590_20,REAR,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:49:30
1010,EGR1524590_20,BASE,0.0046,0.0015,0.0015,0.0001,0.067,6/11/2024,16:49:30
1010,EGR1524590_20,MID,0.004,0.0015,0.0015,-0.0005,-0.333,6/11/2024,16:49:30
1010,EGR1524590_20,TIP,0.0042,0.0015,0.0015,-0.0003,-0.2,6/11/2024,16:49:30
1011,EGR1524590_21,REAR,0.0049,0.0015,0.0015,0.0004,0.267,6/11/2024,16:50:25
1011,EGR1524590_21,BASE,0.0047,0.0015,0.0015,0.0002,0.133,6/11/2024,16:50:25
1011,EGR1524590_21,MID,0.004,0.0015,0.0015,-0.0005,-0.333,6/11/2024,16:50:25
1011,EGR1524590_21,TIP,0.0042,0.0015,0.0015,-0.0003,-0.2,6/11/2024,16:50:25
